"fasta","gene_position","start_position","end_position","strandedness","rank","kegg_id","kegg_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW013.maxbin.001",1,99,4649,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",534,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.31","0.4","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.46, 0.25; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.38, 0.25; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.37, 0.23; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.28, 0.23; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.22, 0.23; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.19; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.18, 0.2; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.11, 0.2; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.11, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 76.9, 0.22; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 76.88, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.87, 0.24; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.8, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.71, 0.19; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.47, 0.13; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.33, 0.15; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.12, 0.11",65.79,11,0.968528954619397,"N/A"
"JW013.metabat.14",1,1,3519,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",319,"Glutamate synthase central domain [PF04898.16]; Glutamine amidotransferases class-II [PF00310.23]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__;s__","GCA_005884125.1","95.0","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__AC-35;s__AC-35 sp005884125","78.04","0.38","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__AC-35;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",36.78,11,0.710103197811921,"N/A"
"JW016.metabat.16_sub",3,1850,6394,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",657,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","GCA_003151425.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425","78.31","0.48","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",52.64,11,0.902198980795796,"N/A"
"JW017.metabat.16",2,725,5242,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",407,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__","GCA_013821605.1","95.0","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__JACDGP01 sp013821605","76.12","0.04","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__JACDGP01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",80.32,11,0.84718876413839,"N/A"
"JW017.metabat.19",1,2,4474,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",582,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","GCA_002748415.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__GCA-002748415;s__GCA-002748415 sp002748415","76.67","0.12","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",36.34,11,0.713390922598975,"N/A"
"JW018.metabat.13",7,4714,9201,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",458,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_019247245.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp019247245","84.67","0.6","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 78.0, 0.25; GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 77.41, 0.27; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 77.36, 0.27; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 77.35, 0.24; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.35, 0.18; GCA_902806055.1, s__SCSIO-52915 sp902806055, 95.0, 77.24, 0.23; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 77.22, 0.17; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 77.06, 0.19; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 76.55, 0.15",87.53,11,0.95847028089405,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW018.metabat.7",1,3,4274,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",446,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","ANI","classification based on placement in class-level tree","GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 78.44, 0.34; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 78.41, 0.33; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 78.34, 0.35; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 78.23, 0.32; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 78.2, 0.29; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 78.14, 0.27; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 78.06, 0.32; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 78.05, 0.3; GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 78.03, 0.29; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 77.93, 0.25; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.92, 0.28; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.86, 0.31; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.84, 0.33; GCA_019247075.1, s__Palsa-465 sp019247075, 95.0, 77.58, 0.23; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 77.38, 0.19; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 77.08, 0.22; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.97, 0.14; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.9, 0.2",53.87,11,0.918913532658843,"N/A"
"JW025.metabat.2",6,6340,10827,-1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",594,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806055.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806055","87.72","0.75","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 84.04, 0.58; GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 83.74, 0.56; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 78.65, 0.46; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.25, 0.38; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 78.09, 0.27; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 78.03, 0.32; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.86, 0.32; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.72, 0.23; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 76.78, 0.14",82.84,11,0.983825032292485,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW026.metabat.4",4,1666,6153,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",592,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806055.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806055","87.55","0.76","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 83.97, 0.6; GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 83.83, 0.57; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 78.38, 0.44; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.23, 0.38; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 78.12, 0.27; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 78.07, 0.32; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.94, 0.31; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.6, 0.23; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 76.66, 0.14",82.66,11,0.983718422076776,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW027.maxbin.001",34,31397,35884,1,"C","K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",594,"Glutamine amidotransferases class-II [PF00310.23]; Glutamate synthase central domain [PF04898.16]; Conserved region in glutamate synthase [PF01645.19]; GXGXG motif [PF01493.21]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_902806055.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp902806055","87.65","0.8","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 84.19, 0.55; GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 83.94, 0.58; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 78.52, 0.47; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 78.04, 0.42; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 77.99, 0.36; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 77.98, 0.29; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.86, 0.33; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 77.61, 0.24; GCA_019247245.1, s__SCSIO-52915 sp019247245, 95.0, 76.84, 0.14",69.88,11,0.983638795842695,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
