"fasta","gene_position","start_position","end_position","strandedness","rank","kegg_id","kegg_hit","peptidase_bitScore","pfam_hits","cazy_hits","classification","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references(genome_id,species_name,radius,ANI,AF)","msa_percent","translation_table","red_value","warnings"
"JW013.maxbin.001",18,15751,17325,-1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; FAD binding domain [PF01494.21]; NAD(P)-binding Rossmann-like domain [PF13450.8]; Flavin-binding monooxygenase-like [PF00743.21]; HI0933-like protein [PF03486.16]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.29]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus [PF01210.25]; Flavin containing amine oxidoreductase [PF01593.26]; FAD dependent oxidoreductase [PF01266.26]; FAD binding domain [PF00890.26]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.31","0.4","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.46, 0.25; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.38, 0.25; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.37, 0.23; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.28, 0.23; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.22, 0.23; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.19; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.18, 0.2; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.11, 0.2; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.11, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 76.9, 0.22; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 76.88, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.87, 0.24; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.8, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.71, 0.19; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.47, 0.13; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.33, 0.15; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.12, 0.11",65.79,11,0.968528954619397,"N/A"
"JW016.metabat.16_sub",2,267,1703,1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; NAD(P)-binding Rossmann-like domain [PF13450.8]; Flavin-binding monooxygenase-like [PF00743.21]; HI0933-like protein [PF03486.16]; FAD binding domain [PF01494.21]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.29]; FAD dependent oxidoreductase [PF01266.26]; FAD dependent oxidoreductase [PF12831.9]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","GCA_003151425.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425","78.31","0.48","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",52.64,11,0.902198980795796,"N/A"
"JW016.metabat.18",1,1,1404,1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; FAD binding domain [PF01494.21]; NAD(P)-binding Rossmann-like domain [PF13450.8]; Flavin-binding monooxygenase-like [PF00743.21]; HI0933-like protein [PF03486.16]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.29]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus [PF01210.25]; Flavin containing amine oxidoreductase [PF01593.26]; FAD dependent oxidoreductase [PF01266.26]; FAD binding domain [PF00890.26]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","GCA_019247075.1","95.0","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp019247075","79.29","0.41","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 77.55, 0.28; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 77.39, 0.21; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 77.36, 0.22; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 77.3, 0.18; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.27, 0.24; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.23, 0.2; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.22, 0.26; GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 77.21, 0.19; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 77.2, 0.17; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 77.04, 0.23; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 77.0, 0.21; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 76.98, 0.22; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 76.92, 0.16; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 76.67, 0.22; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 76.62, 0.14; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.44, 0.14; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.33, 0.11",66.16,11,0.968270970646317,"N/A"
"JW016.metabat.35",11,11018,12484,-1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; Flavin-binding monooxygenase-like [PF00743.21]; NAD(P)-binding Rossmann-like domain [PF13450.8]; FAD binding domain [PF01494.21]; HI0933-like protein [PF03486.16]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; FAD dependent oxidoreductase [PF12831.9]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_017744365.1, s__Marmoricola sp017744365, 95.0, 80.13, 0.56; GCF_003725535.1, s__Marmoricola pocheonensis, 95.0, 80.05, 0.52; GCF_000426045.1, s__Marmoricola sp000426045, 95.0, 80.02, 0.52; GCF_900104965.1, s__Marmoricola scoriae, 95.0, 79.97, 0.51; GCF_001424755.1, s__Marmoricola sp001424755, 95.0, 79.96, 0.51; GCF_000720335.1, s__Marmoricola aequoreus, 95.0, 79.91, 0.5; GCF_003725775.1, s__Marmoricola solisilvae, 95.0, 79.86, 0.45; GCF_003752505.1, s__Marmoricola aurantiacus, 95.0, 79.83, 0.5; GCF_003674065.1, s__Marmoricola mangrovicus, 95.0, 79.59, 0.49; GCF_003725695.1, s__Marmoricola ginsengisoli, 95.0, 79.44, 0.48; GCF_014644415.1, s__Marmoricola endophyticus, 95.0, 79.18, 0.44; GCF_017872665.1, s__Marmoricola sp017872665, 95.0, 79.15, 0.44",39.75,11,0.855420118690865,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW017.metabat.18",15,16057,17514,-1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; FAD binding domain [PF01494.21]; NAD(P)-binding Rossmann-like domain [PF13450.8]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; Flavin-binding monooxygenase-like [PF00743.21]; HI0933-like protein [PF03486.16]; Thi4 family [PF01946.19]; FAD dependent oxidoreductase [PF12831.9]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__","GCF_000576575.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__Intrasporangium_A chromatireducens","86.28","0.66","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Intrasporangium_A;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",47.08,11,0.961529844231008,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW017.metabat.19",2,739,2256,1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; Flavin-binding monooxygenase-like [PF00743.21]; NAD(P)-binding Rossmann-like domain [PF13450.8]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; FAD binding domain [PF01494.21]; HI0933-like protein [PF03486.16]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.29]; FAD dependent oxidoreductase [PF12831.9]; Flavin containing amine oxidoreductase [PF01593.26]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","GCA_002748415.1","95.0","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__GCA-002748415;s__GCA-002748415 sp002748415","76.67","0.12","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",36.34,11,0.713390922598975,"N/A"
"JW018.metabat.13",8,9201,10628,1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; HI0933-like protein [PF03486.16]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.29]; NAD(P)-binding Rossmann-like domain [PF13450.8]; FAD binding domain [PF01494.21]; Flavin-binding monooxygenase-like [PF00743.21]; FAD binding domain [PF00890.26]; FAD dependent oxidoreductase [PF01266.26]",NA,"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","GCA_019247245.1","95.0","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__SCSIO-52915 sp019247245","84.67","0.6","d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_902806075.1, s__SCSIO-52915 sp902806075, 95.0, 78.0, 0.25; GCA_016781885.1, s__SCSIO-52915 sp016781885, 95.0, 77.41, 0.27; GCA_902806065.1, s__SCSIO-52915 sp902806065, 95.0, 77.36, 0.27; GCF_011492965.1, s__SCSIO-52915 sp011492965, 95.0, 77.35, 0.24; GCA_016781775.1, s__SCSIO-52915 sp016781775, 95.0, 77.35, 0.18; GCA_902806055.1, s__SCSIO-52915 sp902806055, 95.0, 77.24, 0.23; GCA_016781705.1, s__SCSIO-52915 sp016781705, 95.0, 77.22, 0.17; GCA_902806105.1, s__SCSIO-52915 sp902806105, 95.0, 77.06, 0.19; GCA_016781635.1, s__SCSIO-52915 sp016781635, 95.0, 76.55, 0.15",87.53,11,0.95847028089405,"Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"JW018.metabat.7",2,4278,5849,1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; NAD(P)-binding Rossmann-like domain [PF13450.8]; Flavin-binding monooxygenase-like [PF00743.21]; FAD binding domain [PF01494.21]; HI0933-like protein [PF03486.16]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.29]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]",NA,"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__","ANI","classification based on placement in class-level tree","GCA_019241635.1, s__Palsa-465 sp019241635, 95.0, 78.44, 0.34; GCA_019240655.1, s__Palsa-465 sp019240655, 95.0, 78.41, 0.33; GCA_019244395.1, s__Palsa-465 sp019244395, 95.0, 78.34, 0.35; GCA_017882465.1, s__Palsa-465 sp017882465, 95.0, 78.23, 0.32; GCA_019239375.1, s__Palsa-465 sp019239375, 95.0, 78.2, 0.29; GCA_017882405.1, s__Palsa-465 sp017882405, 95.0, 78.14, 0.27; GCA_019240115.1, s__Palsa-465 sp019240115, 95.0, 78.06, 0.32; GCA_019239445.1, s__Palsa-465 sp019239445, 95.0, 78.05, 0.3; GCA_005883415.1, s__Palsa-465 sp005883415, 95.0, 78.03, 0.29; GCA_019240305.1, s__Palsa-465 sp019240305, 95.0, 77.93, 0.25; GCA_003244035.1, s__Palsa-465 sp003244035, 95.0, 77.92, 0.28; GCA_019244745.1, s__Palsa-465 sp019244745, 95.0, 77.86, 0.31; GCA_019240015.1, s__Palsa-465 sp019240015, 95.0, 77.84, 0.33; GCA_019247075.1, s__Palsa-465 sp019247075, 95.0, 77.58, 0.23; GCA_017354065.1, s__Palsa-465 sp017354065, 95.0, 77.38, 0.19; GCA_009785395.1, s__Palsa-465 sp009785395, 95.0, 77.08, 0.22; GCA_003137075.1, s__Palsa-465 sp003137075, 95.0, 76.97, 0.14; GCA_003165655.1, s__Palsa-465 sp003165655, 95.0, 76.9, 0.2",53.87,11,0.918913532658843,"N/A"
"JW022.metabat.5",2,2963,4426,1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; Flavin-binding monooxygenase-like [PF00743.21]; NAD(P)-binding Rossmann-like domain [PF13450.8]; FAD binding domain [PF01494.21]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus [PF01210.25]; HI0933-like protein [PF03486.16]",NA,"d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",57.78,11,0.875951773805783,"N/A"
"JW022.metabat.9",2,858,2294,-1,"C","K00266","glutamate synthase (NADPH) small chain [EC:1.4.1.13]",NA,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster [PF14691.8]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.16]; Pyridine nucleotide-disulphide oxidoreductase [PF13738.8]; NAD(P)-binding Rossmann-like domain [PF13450.8]; Flavin-binding monooxygenase-like [PF00743.21]; HI0933-like protein [PF03486.16]; Pyridine nucleotide-disulphide oxidoreductase [PF00070.29]; FAD binding domain [PF01494.21]; FAD dependent oxidoreductase [PF01266.26]",NA,"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","GCA_003151425.1","95.0","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__Palsa-883 sp003151425","77.93","0.42","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",50.18,11,0.908651451397136,"N/A"
